Name,BirthYear,BeginType,BeganYear,EndYear,EndType,YearCountEndType
Augustus,-63,Seized Power,1/16/-27,8/19/14,Natural Causes,natural
Tiberius,-42,Adoptive Inheritance,9/18/14,3/16/37,Natural Causes,natural
Caligula,12,Adoptive Inheritance,3/18/37,1/24/41,Assassination,assassination
Claudius,-10,Hailed By Praetorian Guard,1/25/41,10/13/54,Assassination,assassination
Nero,37,Adoptive Inheritance,10/13/54,6/9/68,Suicide,suicide
Galba,-3,Seized Power,6/8/68,1/15/69,Praetorian Guard,praetorian
Otho,32,Hailed By Praetorian Guard,1/15/69,4/16/69,Suicide,suicide
Vitellius,15,Seized Power,4/17/69,12/20/69,Executed,executed
Vespasian,9,Seized Power,12/21/69,6/24/79,Natural Causes,natural
Titus,39,Inheritance,6/24/79,9/13/81,Natural Causes,natural
Domitian,51,Inheritance,9/14/81,9/18/96,Assassination,assassination
Nerva,30,Elected By Senate,9/18/96,1/27/98,Natural Causes,natural
Trajan,53,Adoptive Inheritance,1/28/98,8/7/117,Natural Causes,natural
Hadrian,76,Adoptive Inheritance,8/11/117,7/10/138,Natural Causes,natural
Antoninus Pius,86,Adoptive Inheritance,7/10/138,3/7/161,Natural Causes,natural
Marcus Aurelius,121,Adoptive Inheritance,3/7/161,3/17/180,Natural Causes,natural
Lucius Verus,130,Adoptive Inheritance,3/7/161,3/1/169,Natural Causes,natural
Commodus,161,Inheritance,1/1/177,12/31/192,Assassination,assassination
Pertinax,126,Hailed By Praetorian Guard,1/1/193,3/28/193,Praetorian Guard,praetorian
Didius Julianus,133,Hailed By Praetorian Guard,3/28/193,6/1/193,Executed,executed
Septimius Severus,145,Seized Power,4/9/193,2/4/211,Natural Causes,natural
Caracalla,188,Inheritance,1/1/198,4/8/217,Assassination,assassination
Geta,189,Inheritance,1/1/209,12/26/211,Executed,executed
Macrinus,165,Hailed By Praetorian Guard,4/11/217,6/8/218,Executed,executed
Elagabalus,203,Hailed By Legions,6/8/218,3/11/222,Praetorian Guard,praetorian
Severus Alexander,208,Adoptive Inheritance,3/13/222,3/18/235,Assassination,assassination
Maximinus I,173,Hailed By Legions,3/20/235,6/1/238,Praetorian Guard,praetorian
Gordian I,159,Hailed By Legions,3/22/238,4/12/238,Suicide,suicide
Gordian II,192,Hailed By Legions,3/22/238,4/12/238,Death in Battle,battle
Pupienus,178,Elected By Senate,4/22/238,7/29/238,Praetorian Guard,praetorian
Balbinus,165,Elected By Senate,4/22/238,7/29/238,Praetorian Guard,praetorian
Gordian III,225,Elected By Senate,4/22/238,2/11/244,Assassination,assassination
