game_id,date,player_id,name,ab,h,running_total_ab,running_total_h
15,1998-04-01,7290,"Chuck Knoblauch",3,0,3,0
15,1998-04-01,6625,"Derek Jeter",4,0,4,0
15,1998-04-01,11038,"Tim Raines Sr",2,2,2,2
15,1998-04-01,1589,"Scott Brosius",4,0,4,0
15,1998-04-01,13043,"Darryl Strawberry",4,0,4,0
15,1998-04-01,10834,"Jorge Posada",3,0,3,0
15,1998-04-01,14474,"Bernie F Williams",2,0,2,0
15,1998-04-01,8493,"Tino Martinez",3,0,3,0
15,1998-04-01,10084,"Paul O'Neill",3,0,3,0
26,1998-04-02,10834,"Jorge Posada",3,2,6,2
26,1998-04-02,14474,"Bernie F Williams",4,2,6,2
26,1998-04-02,8493,"Tino Martinez",4,2,7,2
26,1998-04-02,10084,"Paul O'Neill",4,0,7,0
26,1998-04-02,7290,"Chuck Knoblauch",4,1,7,1
26,1998-04-02,6625,"Derek Jeter",4,1,8,1
26,1998-04-02,11038,"Tim Raines Sr",4,2,6,4
26,1998-04-02,1589,"Scott Brosius",3,0,7,0
26,1998-04-02,13043,"Darryl Strawberry",4,0,8,0
42,1998-04-03,6625,"Derek Jeter",5,1,13,2
42,1998-04-03,11038,"Tim Raines Sr",4,2,10,6
42,1998-04-03,7290,"Chuck Knoblauch",5,1,12,2
42,1998-04-03,1589,"Scott Brosius",5,0,12,0
42,1998-04-03,13043,"Darryl Strawberry",3,0,11,0
42,1998-04-03,10834,"Jorge Posada",3,0,9,2
42,1998-04-03,14474,"Bernie F Williams",4,3,10,5
42,1998-04-03,8493,"Tino Martinez",2,0,9,2
42,1998-04-03,10084,"Paul O'Neill",5,2,12,2
57,1998-04-04,10084,"Paul O'Neill",6,1,18,3
57,1998-04-04,3002,"Chad Curtis",3,1,3,1
57,1998-04-04,6625,"Derek Jeter",4,2,17,4
57,1998-04-04,11038,"Tim Raines Sr",2,1,12,7
57,1998-04-04,7290,"Chuck Knoblauch",6,3,18,5
57,1998-04-04,1589,"Scott Brosius",4,1,16,1
57,1998-04-04,13043,"Darryl Strawberry",4,0,15,0
57,1998-04-04,10834,"Jorge Posada",5,2,14,4
57,1998-04-04,14474,"Bernie F Williams",6,2,16,7
57,1998-04-04,8493,"Tino Martinez",4,0,13,2
72,1998-04-05,1589,"Scott Brosius",6,3,22,4
72,1998-04-05,13043,"Darryl Strawberry",5,3,20,3
72,1998-04-05,10834,"Jorge Posada",6,3,20,7
72,1998-04-05,14474,"Bernie F Williams",5,1,21,8
72,1998-04-05,8493,"Tino Martinez",5,3,18,5
72,1998-04-05,10084,"Paul O'Neill",6,3,24,6
72,1998-04-05,3002,"Chad Curtis",0,0,3,1
72,1998-04-05,6625,"Derek Jeter",5,1,22,5
72,1998-04-05,11038,"Tim Raines Sr",3,1,15,8
72,1998-04-05,7290,"Chuck Knoblauch",6,2,24,7
85,1998-04-06,3002,"Chad Curtis",0,0,3,1
85,1998-04-06,6625,"Derek Jeter",3,1,25,6
85,1998-04-06,11038,"Tim Raines Sr",5,3,20,11
85,1998-04-06,7290,"Chuck Knoblauch",6,2,30,9
85,1998-04-06,1589,"Scott Brosius",5,2,27,6
85,1998-04-06,13043,"Darryl Strawberry",6,2,26,5
85,1998-04-06,10834,"Jorge Posada",5,4,25,11
85,1998-04-06,13191,"Dale Sveum",1,0,1,0
85,1998-04-06,14474,"Bernie F Williams",5,0,26,8
85,1998-04-06,8493,"Tino Martinez",5,2,23,7
85,1998-04-06,10084,"Paul O'Neill",5,2,29,8
94,1998-04-07,14474,"Bernie F Williams",2,1,28,9
94,1998-04-07,10084,"Paul O'Neill",3,1,32,9
94,1998-04-07,4895,"Joe Girardi",4,0,4,0
94,1998-04-07,3002,"Chad Curtis",0,0,3,1
94,1998-04-07,6625,"Derek Jeter",5,1,30,7
94,1998-04-07,11038,"Tim Raines Sr",3,1,23,12
94,1998-04-07,7290,"Chuck Knoblauch",3,0,33,9
94,1998-04-07,12691,"Luis Sojo",4,0,4,0
94,1998-04-07,1589,"Scott Brosius",3,2,30,8
94,1998-04-07,13043,"Darryl Strawberry",2,0,28,5
107,1998-04-08,11038,"Tim Raines Sr",1,0,24,12
107,1998-04-08,7290,"Chuck Knoblauch",4,0,37,9
107,1998-04-08,8493,"Tino Martinez",4,2,27,9
107,1998-04-08,1589,"Scott Brosius",4,0,34,8
107,1998-04-08,13043,"Darryl Strawberry",4,0,32,5
107,1998-04-08,14474,"Bernie F Williams",4,0,32,9
107,1998-04-08,10084,"Paul O'Neill",3,1,35,10
107,1998-04-08,3002,"Chad Curtis",3,2,6,3
107,1998-04-08,6625,"Derek Jeter",4,2,34,9
107,1998-04-08,10834,"Jorge Posada",4,2,29,13
129,1998-04-10,6625,"Derek Jeter",5,2,39,11
129,1998-04-10,10834,"Jorge Posada",4,2,33,15
129,1998-04-10,11038,"Tim Raines Sr",3,1,27,13
129,1998-04-10,7290,"Chuck Knoblauch",4,0,41,9
129,1998-04-10,8493,"Tino Martinez",3,2,30,11
129,1998-04-10,1589,"Scott Brosius",4,1,38,9
129,1998-04-10,13043,"Darryl Strawberry",4,1,36,6
129,1998-04-10,14474,"Bernie F Williams",4,1,36,10
129,1998-04-10,10084,"Paul O'Neill",3,0,38,10
144,1998-04-12,14474,"Bernie F Williams",4,3,43,15
144,1998-04-12,10084,"Paul O'Neill",4,2,46,13
144,1998-04-12,6625,"Derek Jeter",5,2,48,13
144,1998-04-12,10834,"Jorge Posada",3,1,36,16
144,1998-04-12,11038,"Tim Raines Sr",2,0,32,15
144,1998-04-12,7290,"Chuck Knoblauch",5,2,50,12
144,1998-04-12,8493,"Tino Martinez",4,0,38,13
144,1998-04-12,1589,"Scott Brosius",4,2,45,11
144,1998-04-12,13043,"Darryl Strawberry",5,1,45,8
159,1998-04-12,6625,"Derek Jeter",4,0,48,13
159,1998-04-12,11038,"Tim Raines Sr",3,2,32,15
159,1998-04-12,7290,"Chuck Knoblauch",4,1,50,12
159,1998-04-12,8493,"Tino Martinez",4,2,38,13
159,1998-04-12,1589,"Scott Brosius",3,0,45,11
159,1998-04-12,3002,"Chad Curtis",0,0,6,3
159,1998-04-12,13043,"Darryl Strawberry",4,1,45,8
159,1998-04-12,14474,"Bernie F Williams",3,2,43,15
159,1998-04-12,10084,"Paul O'Neill",4,1,46,13
159,1998-04-12,4895,"Joe Girardi",4,1,8,1
174,1998-04-13,10084,"Paul O'Neill",4,1,50,14
174,1998-04-13,10834,"Jorge Posada",4,1,40,17
174,1998-04-13,6625,"Derek Jeter",5,1,53,14
174,1998-04-13,11038,"Tim Raines Sr",4,1,36,16
174,1998-04-13,7290,"Chuck Knoblauch",4,1,54,13
174,1998-04-13,8493,"Tino Martinez",2,1,40,14
174,1998-04-13,1589,"Scott Brosius",3,1,48,12
174,1998-04-13,3002,"Chad Curtis",0,0,6,3
174,1998-04-13,13043,"Darryl Strawberry",3,2,48,10
174,1998-04-13,14474,"Bernie F Williams",4,2,47,17
188,1998-04-14,1589,"Scott Brosius",3,1,51,13
188,1998-04-14,3002,"Chad Curtis",3,0,9,3
188,1998-04-14,13043,"Darryl Strawberry",3,1,51,11
188,1998-04-14,14474,"Bernie F Williams",3,0,50,17
188,1998-04-14,10084,"Paul O'Neill",3,1,53,15
188,1998-04-14,10834,"Jorge Posada",4,0,44,17
188,1998-04-14,6625,"Derek Jeter",3,2,56,16
188,1998-04-14,7290,"Chuck Knoblauch",4,1,58,14
188,1998-04-14,8493,"Tino Martinez",2,0,42,14
201,1998-04-15,6625,"Derek Jeter",3,1,59,17
201,1998-04-15,7290,"Chuck Knoblauch",5,2,63,16
201,1998-04-15,8493,"Tino Martinez",3,1,45,15
